t=2026-07-14T08:05:44-0400 lvl=info msg="no configuration paths supplied"
t=2026-07-14T08:05:44-0400 lvl=info msg="using configuration at default config path" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-14T08:05:44-0400 lvl=info msg="open config file" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-14T08:05:44-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-14T08:05:44-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=09f03548ee11 l=[::1]:3000 r=181.36.78.109:52269
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=81e928eff1b9 l=[::1]:3000 r=152.166.159.240:54281
t=2026-07-14T08:11:19-0400 lvl=info msg="join connections" obj=join id=6e6f98029a84 l=[::1]:3000 r=152.166.159.240:54283
t=2026-07-14T08:11:20-0400 lvl=info msg="join connections" obj=join id=e14409acc46f l=[::1]:3000 r=152.166.159.240:54285
t=2026-07-14T08:11:22-0400 lvl=info msg="join connections" obj=join id=4df150790d26 l=[::1]:3000 r=152.166.159.240:54287
t=2026-07-14T08:11:24-0400 lvl=info msg="join connections" obj=join id=fac21addd97f l=[::1]:3000 r=152.166.159.240:54289
t=2026-07-14T08:11:25-0400 lvl=info msg="join connections" obj=join id=c11e0d59e762 l=[::1]:3000 r=181.36.78.109:32334
t=2026-07-14T08:11:25-0400 lvl=info msg="join connections" obj=join id=20311068840d l=[::1]:3000 r=152.166.159.240:54291
t=2026-07-14T08:11:31-0400 lvl=info msg="join connections" obj=join id=baa9b6ecefac l=[::1]:3000 r=152.166.159.240:54293
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=be91c6612c63 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=2fb77fb630e5 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=45913c78493f l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=ee3cbdde1fe2 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=0725e6ec035d l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=8558e6d20e9d l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=6397dcd05620 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=755de6d88166 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=bed2fae30693 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=e8a1656a976e l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=cfa1f38b7edd l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=61f51ceaebea l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=1d83df455edb l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=b21de3506d0b l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=7ce0a07b6741 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=cb6ff226944a l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=0da2491ece79 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=a3018d95b159 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:11:32-0400 lvl=info msg="join connections" obj=join id=7d7a9bdbe7eb l=[::1]:3000 r=181.36.78.109:37331
t=2026-07-14T08:11:33-0400 lvl=info msg="join connections" obj=join id=db375e29d46b l=[::1]:3000 r=181.36.78.109:26946
t=2026-07-14T08:11:34-0400 lvl=info msg="join connections" obj=join id=fee49d0e31dc l=[::1]:3000 r=181.36.78.109:35469
t=2026-07-14T08:11:36-0400 lvl=info msg="join connections" obj=join id=bee76932fe15 l=[::1]:3000 r=152.166.159.240:54295
t=2026-07-14T08:11:37-0400 lvl=info msg="join connections" obj=join id=6126f349e24f l=[::1]:3000 r=181.36.78.109:65479
t=2026-07-14T08:11:40-0400 lvl=info msg="join connections" obj=join id=b7267fd278b6 l=[::1]:3000 r=181.36.78.109:1986
t=2026-07-14T08:11:42-0400 lvl=info msg="join connections" obj=join id=0643a87b510e l=[::1]:3000 r=152.166.159.240:54297
t=2026-07-14T08:11:44-0400 lvl=info msg="join connections" obj=join id=8c02527198e6 l=[::1]:3000 r=181.36.78.109:20652
t=2026-07-14T08:11:48-0400 lvl=info msg="join connections" obj=join id=8b9d957f5de3 l=[::1]:3000 r=181.36.78.109:6198
t=2026-07-14T08:11:50-0400 lvl=info msg="join connections" obj=join id=d704fa1c3657 l=[::1]:3000 r=181.36.78.109:19109
t=2026-07-14T08:11:53-0400 lvl=info msg="join connections" obj=join id=69f9673f51ef l=[::1]:3000 r=181.36.78.109:22822
t=2026-07-14T08:12:02-0400 lvl=info msg="join connections" obj=join id=a3ac29951710 l=[::1]:3000 r=181.36.78.109:46272
t=2026-07-14T08:12:09-0400 lvl=info msg="join connections" obj=join id=699e144cff7e l=[::1]:3000 r=181.36.78.109:61795
t=2026-07-14T08:12:19-0400 lvl=info msg="join connections" obj=join id=65689a82aa8e l=[::1]:3000 r=181.36.78.109:10627
t=2026-07-14T08:12:27-0400 lvl=info msg="join connections" obj=join id=576dbbe89f5f l=[::1]:3000 r=181.36.78.109:37496
t=2026-07-14T08:12:36-0400 lvl=info msg="join connections" obj=join id=bcfd149f6bfa l=[::1]:3000 r=181.36.78.109:42070
t=2026-07-14T08:12:41-0400 lvl=info msg="join connections" obj=join id=31f7c415d605 l=[::1]:3000 r=152.166.159.240:54319
t=2026-07-14T08:12:44-0400 lvl=info msg="join connections" obj=join id=726b704b317e l=[::1]:3000 r=181.36.78.109:11334
t=2026-07-14T08:12:50-0400 lvl=info msg="join connections" obj=join id=66864cc427fc l=[::1]:3000 r=152.166.159.240:54323
t=2026-07-14T08:12:53-0400 lvl=info msg="join connections" obj=join id=5ba2a45a13f7 l=[::1]:3000 r=181.36.78.109:44992
